service_id,date,exception_type
"1","20200508","1"
"1","20200515","1"
"1","20200522","1"
"1","20200529","1"
"2","20200501","1"
"2","20200531","1"
"2","20200503","1"
"2","20200524","1"
"2","20200510","1"
"2","20200517","1"
"3","20200502","1"
"3","20200516","1"
"3","20200523","1"
"3","20200530","1"
"3","20200509","1"
"4","20200506","1"
"4","20200520","1"
"4","20200527","1"
"4","20200513","1"
"5","20200507","1"
"5","20200514","1"
"5","20200521","1"
"5","20200528","1"
"6","20200519","1"
"6","20200512","1"
"6","20200526","1"
"6","20200505","1"
"7","20200525","1"
"7","20200504","1"
"7","20200518","1"
"7","20200511","1"
