service_id,date,exception_type
"1","20200504","1"
"1","20200518","1"
"1","20200525","1"
"1","20200511","1"
"2","20200508","1"
"2","20200529","1"
"2","20200522","1"
"2","20200515","1"
"3","20200519","1"
"3","20200505","1"
"3","20200512","1"
"3","20200526","1"
"4","20200530","1"
"4","20200523","1"
"4","20200502","1"
"4","20200509","1"
"4","20200516","1"
"5","20200506","1"
"5","20200513","1"
"5","20200527","1"
"5","20200520","1"
"6","20200528","1"
"6","20200521","1"
"6","20200507","1"
"6","20200514","1"
"7","20200510","1"
"7","20200503","1"
"7","20200524","1"
"7","20200531","1"
"7","20200501","1"
"7","20200517","1"
